,Avg_temp,Max_temp,Min_temp,Avg_relative_humidity,Avg_visibility,Avg_wind_speed,Max_wind_speed,PM10
281,24.6,29.0,19.3,69.0,6.9,8.0,11.1,131.84
282,25.2,29.7,20.5,66.0,6.9,7.2,11.1,109.33
283,23.8,29.9,20.9,76.0,6.9,7.6,14.8,89.89
284,23.2,29.3,20.5,79.0,6.9,3.9,5.4,53.29
285,23.2,27.4,20.4,78.0,6.9,4.4,7.6,120.73
286,24.4,28.2,20.2,68.0,6.9,5.0,9.4,108.35
287,22.9,28.5,20.0,75.0,7.4,7.6,51.9,96.21
288,22.9,27.0,20.0,73.0,6.9,9.4,14.8,96.86
289,22.2,27.2,20.2,80.0,6.9,11.1,14.8,112.99
290,22.2,26.6,20.6,87.0,6.9,10.2,14.8,67.51
291,23.5,26.7,20.6,66.0,6.9,9.1,11.1,87.44
292,23.8,28.7,19.7,74.0,6.9,8.1,11.1,104.78
293,25.2,30.3,20.5,65.0,6.9,7.2,9.4,98.1
294,25.4,30.5,20.5,64.0,6.9,9.1,14.8,106.37
295,24.4,30.2,20.5,71.0,6.9,8.3,14.8,94.22
296,24.9,30.7,22.0,75.0,5.8,3.0,7.6,91.66
297,25.2,30.5,21.4,67.0,6.9,4.8,11.1,85.75
298,25.0,31.5,21.6,69.0,6.9,5.7,9.4,89.59
299,24.3,31.2,20.3,72.0,6.9,8.9,14.8,73.97
300,25.7,30.2,21.2,65.0,6.3,7.2,11.1,88.46
301,25.8,31.2,22.0,66.0,6.9,5.0,14.8,102.47
302,23.8,31.3,21.5,79.0,6.9,5.6,11.1,90.31
303,23.3,27.6,21.2,75.0,6.3,2.8,5.4,116.98
304,24.8,27.6,21.6,67.0,6.9,1.9,5.4,115.95
305,22.3,28.3,19.2,84.0,6.9,2.2,7.6,64.23
306,22.6,28.9,20.3,84.0,6.3,6.7,14.8,50.87
307,22.3,28.6,20.3,86.0,6.9,8.1,11.1,63.7
308,23.6,27.0,20.3,78.0,6.9,7.0,9.4,88.29
309,22.8,26.8,20.5,86.0,4.8,6.3,9.4,50.7
310,23.8,28.0,20.8,77.0,6.9,9.1,11.1,70.57
311,22.3,28.5,21.0,89.0,4.8,7.6,14.8,48.4
312,24.9,29.0,20.5,73.0,6.4,4.8,9.4,116.25
313,23.7,30.6,19.8,84.0,6.3,4.1,7.6,89.68
314,22.6,27.8,20.8,92.0,4.8,1.9,5.4,81.99
315,23.2,27.3,19.9,87.0,5.5,3.7,7.6,59.57
316,24.1,28.5,21.3,83.0,6.3,1.9,3.5,103.57
317,23.9,30.0,20.5,82.0,6.3,2.0,11.1,70.58
318,23.6,28.2,20.0,82.0,6.8,2.0,5.4,84.64
319,25.3,31.0,22.2,72.0,6.9,4.6,7.6,109.74
320,24.8,30.6,21.0,75.0,6.9,5.9,11.1,87.87
321,23.7,31.1,21.0,78.0,6.9,6.3,7.6,76.2
322,23.1,27.2,20.4,75.0,6.3,11.7,14.8,88.08
323,23.2,27.7,19.4,68.0,6.9,10.9,18.3,81.38
324,22.8,28.5,19.3,80.0,6.3,10.0,14.8,62.33
325,22.8,29.0,19.4,81.0,6.3,3.3,5.4,53.02
326,23.8,27.2,20.6,78.0,6.9,3.9,9.4,78.39
327,21.9,28.1,20.0,91.0,5.5,4.1,7.6,46.48
328,23.1,27.4,20.7,85.0,6.3,4.3,7.6,60.88
329,23.3,28.4,19.4,82.0,6.3,3.1,5.4,55.0
330,24.9,28.0,20.6,74.0,6.9,4.3,7.6,77.03
331,23.7,29.0,21.2,84.0,5.5,1.1,5.4,85.86
